username,repo_name,stars,repo_url
mrdoob,three.js,104000,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,28200,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,23800,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,23600,https://github.com/BabylonJS/Babylon.js
FreeCAD,FreeCAD,23200,https://github.com/FreeCAD/FreeCAD
ssloy,tinyrenderer,21300,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,18400,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,16900,https://github.com/aframevr/aframe
blender,blender,14200,https://github.com/blender/blender
CesiumGS,cesium,13300,https://github.com/CesiumGS/cesium
4ian,GDevelop,13000,https://github.com/4ian/GDevelop
isl-org,Open3D,12000,https://github.com/isl-org/Open3D
MonoGame,MonoGame,11800,https://github.com/MonoGame/MonoGame
mapbox,mapbox-gl-js,11400,https://github.com/mapbox/mapbox-gl-js
metafizzy,zdog,10400,https://github.com/metafizzy/zdog
nerfstudio-project,nerfstudio,9900,https://github.com/nerfstudio-project/nerfstudio
timzhang642,3D-Machine-Learning,9900,https://github.com/timzhang642/3D-Machine-Learning
cocos,cocos-engine,8400,https://github.com/cocos/cocos-engine
FyroxEngine,Fyrox,8000,https://github.com/FyroxEngine/Fyrox
domlysz,BlenderGIS,8000,https://github.com/domlysz/BlenderGIS
