username,repo_name,stars,repo_url
ljianshu,Blog,7900,https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7400,https://github.com/metafizzy/infinite-scroll
olifolkerd,tabulator,7000,https://github.com/olifolkerd/tabulator
developit,unfetch,5700,https://github.com/developit/unfetch
jquery-form,form,5200,https://github.com/jquery-form/form
elbywan,wretch,4900,https://github.com/elbywan/wretch
Studio-42,elFinder,4700,https://github.com/Studio-42/elFinder
dwyl,learn-to-send-email-via-google-script-html-no-server,3200,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
alovajs,alova,3100,https://github.com/alovajs/alova
ded,reqwest,2900,https://github.com/ded/reqwest
wendux,ajax-hook,2600,https://github.com/wendux/ajax-hook
LeaVerou,bliss,2400,https://github.com/LeaVerou/bliss
noelboss,featherlight,2100,https://github.com/noelboss/featherlight
craftpip,jquery-confirm,1900,https://github.com/craftpip/jquery-confirm
k8w,tsrpc,1800,https://github.com/k8w/tsrpc
nette,tracy,1800,https://github.com/nette/tracy
loadingio,css-spinner,1800,https://github.com/loadingio/css-spinner
taoensso,sente,1800,https://github.com/taoensso/sente
codingforentrepreneurs,eCommerce,1600,https://github.com/codingforentrepreneurs/eCommerce
joaomilho,Enterprise,1600,https://github.com/joaomilho/Enterprise
