username,repo_name,stars,repo_url
jwasham,coding-interview-university,312000,https://github.com/jwasham/coding-interview-university
TheAlgorithms,Python,198000,https://github.com/TheAlgorithms/Python
trekhleb,javascript-algorithms,190000,https://github.com/trekhleb/javascript-algorithms
CyC2018,CS-Notes,179000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,122000,https://github.com/yangshun/tech-interview-handbook
krahets,hello-algo,109000,https://github.com/krahets/hello-algo
kdn251,interviews,63900,https://github.com/kdn251/interviews
TheAlgorithms,Java,60900,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,55100,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,54100,https://github.com/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,47200,https://github.com/algorithm-visualizer/algorithm-visualizer
huihut,interview,35500,https://github.com/huihut/interview
halfrost,LeetCode-Go,33300,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,32900,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,31300,https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,29900,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27100,https://github.com/crossoverJie/JCSprout
keon,algorithms,24300,https://github.com/keon/algorithms
AtsushiSakai,PythonRobotics,24300,https://github.com/AtsushiSakai/PythonRobotics
mxgmn,WaveFunctionCollapse,23800,https://github.com/mxgmn/WaveFunctionCollapse
