username,repo_name,stars,repo_url
ByteByteGoHq,system-design-101,68600,https://github.com/ByteByteGoHq/system-design-101
bregman-arie,devops-exercises,68000,https://github.com/bregman-arie/devops-exercises
localstack,localstack,57800,https://github.com/localstack/localstack
serverless,serverless,46600,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,27900,https://github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,22400,https://github.com/pulumi/pulumi
danny-avila,LibreChat,22300,https://github.com/danny-avila/LibreChat
getsops,sops,17800,https://github.com/getsops/sops
kubernetes-sigs,kubespray,16600,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,15800,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,15200,https://github.com/ramitsurana/awesome-kubernetes
caprover,caprover,13700,https://github.com/caprover/caprover
milanm,DevOps-Roadmap,13700,https://github.com/milanm/DevOps-Roadmap
GoogleCloudPlatform,terraformer,13200,https://github.com/GoogleCloudPlatform/terraformer
donnemartin,awesome-aws,12700,https://github.com/donnemartin/awesome-aws
aws,aws-cdk,12000,https://github.com/aws/aws-cdk
infracost,infracost,11300,https://github.com/infracost/infracost
prowler-cloud,prowler,11300,https://github.com/prowler-cloud/prowler
apereo,cas,11000,https://github.com/apereo/cas
aws,chalice,10800,https://github.com/aws/chalice
