username,repo_name,stars,repo_url
amphp,amp,4300,https://github.com/amphp/amp
danog,MadelineProto,3000,https://github.com/danog/MadelineProto
amphp,parallel,806,https://github.com/amphp/parallel
unreal4u,telegram-api,792,https://github.com/unreal4u/telegram-api
amphp,http-client,710,https://github.com/amphp/http-client
amphp,byte-stream,373,https://github.com/amphp/byte-stream
amphp,mysql,366,https://github.com/amphp/mysql
php-service-bus,service-bus,345,https://github.com/php-service-bus/service-bus
amphp,parallel-functions,272,https://github.com/amphp/parallel-functions
xtrime-ru,TelegramRSS,260,https://github.com/xtrime-ru/TelegramRSS
amphp,socket,241,https://github.com/amphp/socket
amphp,process,237,https://github.com/amphp/process
amphp,sync,169,https://github.com/amphp/sync
amphp,dns,169,https://github.com/amphp/dns
amphp,redis,161,https://github.com/amphp/redis
amphp,websocket-client,150,https://github.com/amphp/websocket-client
kelunik,acme,120,https://github.com/kelunik/acme
amphp,serialization,118,https://github.com/amphp/serialization
amphp,websocket-server,117,https://github.com/amphp/websocket-server
amphp,cache,108,https://github.com/amphp/cache
