username,repo_name,stars,repo_url
microsoft,generative-ai-for-beginners,71300,https://github.com/microsoft/generative-ai-for-beginners
bregman-arie,devops-exercises,68200,https://github.com/bregman-arie/devops-exercises
pulumi,pulumi,22500,https://github.com/pulumi/pulumi
danny-avila,LibreChat,22300,https://github.com/danny-avila/LibreChat
getsops,sops,17800,https://github.com/getsops/sops
ramitsurana,awesome-kubernetes,15200,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,14200,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,13700,https://github.com/caprover/caprover
milanm,DevOps-Roadmap,13700,https://github.com/milanm/DevOps-Roadmap
infracost,infracost,11300,https://github.com/infracost/infracost
prowler-cloud,prowler,11300,https://github.com/prowler-cloud/prowler
budtmo,docker-android,10400,https://github.com/budtmo/docker-android
google,go-cloud,9600,https://github.com/google/go-cloud
microsoft,computervision-recipes,9600,https://github.com/microsoft/computervision-recipes
Netflix,metaflow,8600,https://github.com/Netflix/metaflow
YSGStudyHards,DotNetGuide,7700,https://github.com/YSGStudyHards/DotNetGuide
microsoft,azuredatastudio,7700,https://github.com/microsoft/azuredatastudio
midwayjs,midway,7500,https://github.com/midwayjs/midway
bridgecrewio,checkov,7400,https://github.com/bridgecrewio/checkov
thangchung,clean-code-dotnet,7300,https://github.com/thangchung/clean-code-dotnet
