username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,155000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,82400,https://github.com/nvm-sh/nvm
junegunn,fzf,68200,https://github.com/junegunn/fzf
starship,starship,47200,https://github.com/starship/starship
google,zx,43600,https://github.com/google/zx
LeCoupa,awesome-cheatsheets,41700,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,41300,https://github.com/acmesh-official/acme.sh
koalaman,shellcheck,37000,https://github.com/koalaman/shellcheck
dylanaraps,pure-bash-bible,36800,https://github.com/dylanaraps/pure-bash-bible
alebcay,awesome-shell,33800,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,32800,https://github.com/jaywcjlove/linux-command
mathiasbynens,dotfiles,30600,https://github.com/mathiasbynens/dotfiles
kingToolbox,WindTerm,25000,https://github.com/kingToolbox/WindTerm
ajeetdsouza,zoxide,25000,https://github.com/ajeetdsouza/zoxide
withfig,autocomplete,24700,https://github.com/withfig/autocomplete
asdf-vm,asdf,22900,https://github.com/asdf-vm/asdf
atuinsh,atuin,22600,https://github.com/atuinsh/atuin
dylanaraps,neofetch,22500,https://github.com/dylanaraps/neofetch
warpdotdev,Warp,22200,https://github.com/warpdotdev/Warp
Nyr,openvpn-install,19600,https://github.com/Nyr/openvpn-install
