username,repo_name,stars,repo_url
ccxt,ccxt,34700,https://github.com/ccxt/ccxt
feder-cr,Jobs_Applier_AI_Agent_AIHawk,27300,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
python-telegram-bot,python-telegram-bot,27000,https://github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,25700,https://github.com/discordjs/discord.js
wechaty,wechaty,21000,https://github.com/wechaty/wechaty
RasaHQ,rasa,19500,https://github.com/RasaHQ/rasa
InstaPy,InstaPy,17100,https://github.com/InstaPy/InstaPy
hubotio,hubot,16700,https://github.com/hubotio/hubot
pedroslopez,whatsapp-web.js,16200,https://github.com/pedroslopez/whatsapp-web.js
leon-ai,leon,16000,https://github.com/leon-ai/leon
Rapptz,discord.py,15200,https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,15000,https://github.com/tgbot-collection/YYeTsBot
gunthercox,ChatterBot,14200,https://github.com/gunthercox/ChatterBot
lss233,chatgpt-mirai-qq-bot,14100,https://github.com/lss233/chatgpt-mirai-qq-bot
howdyai,botkit,11500,https://github.com/howdyai/botkit
hummingbot,hummingbot,11300,https://github.com/hummingbot/hummingbot
Mrs4s,go-cqhttp,10500,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,10100,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,8600,https://github.com/yagop/node-telegram-bot-api
telegraf,telegraf,8600,https://github.com/telegraf/telegraf
