username,repo_name,stars,repo_url
electron,electron,116000,https://github.com/electron/electron
puppeteer,puppeteer,89800,https://github.com/puppeteer/puppeteer
microsoft,playwright,69600,https://github.com/microsoft/playwright
FiloSottile,mkcert,52400,https://github.com/FiloSottile/mkcert
jaywcjlove,linux-command,32800,https://github.com/jaywcjlove/linux-command
feder-cr,Jobs_Applier_AI_Agent_AIHawk,27300,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
ovity,octotree,23000,https://github.com/ovity/octotree
segment-boneyard,nightmare,19600,https://github.com/segment-boneyard/nightmare
gildas-lormeau,SingleFile,16900,https://github.com/gildas-lormeau/SingleFile
GoogleChrome,chrome-extensions-samples,16000,https://github.com/GoogleChrome/chrome-extensions-samples
checkly,headless-recorder,15100,https://github.com/checkly/headless-recorder
google,WebFundamentals,13900,https://github.com/google/WebFundamentals
schickling,chromeless,13200,https://github.com/schickling/chromeless
MetaMask,metamask-extension,12400,https://github.com/MetaMask/metamask-extension
crimx,ext-saladict,12300,https://github.com/crimx/ext-saladict
casesandberg,react-color,12100,https://github.com/casesandberg/react-color
moonD4rk,HackBrowserData,12000,https://github.com/moonD4rk/HackBrowserData
xifangczy,cat-catch,11600,https://github.com/xifangczy/cat-catch
chromedp,chromedp,11400,https://github.com/chromedp/chromedp
ajayyy,SponsorBlock,10900,https://github.com/ajayyy/SponsorBlock
