username,repo_name,stars,repo_url
ovity,octotree,23000,https://github.com/ovity/octotree
gitpod-io,gitpod,13100,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,8200,https://github.com/reviewdog/reviewdog
qodo-ai,pr-agent,6900,https://github.com/qodo-ai/pr-agent
danger,danger,5500,https://github.com/danger/danger
danger,danger-js,5300,https://github.com/danger/danger-js
joho,awesome-code-review,4500,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,2400,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,2300,https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,2200,https://github.com/crev-dev/cargo-crev
mbj,mutant,2000,https://github.com/mbj/mutant
houndci,hound,2000,https://github.com/houndci/hound
mattzcarey,code-review-gpt,1800,https://github.com/mattzcarey/code-review-gpt
Tencent,CodeAnalysis,1700,https://github.com/Tencent/CodeAnalysis
coderabbitai,ai-pr-reviewer,1600,https://github.com/coderabbitai/ai-pr-reviewer
reviewboard,reviewboard,1600,https://github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,1500,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1300,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1300,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,978,https://github.com/jiangsir404/Audit-Learning
