username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,176000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,68200,https://github.com/junegunn/fzf
sherlock-project,sherlock,62600,https://github.com/sherlock-project/sherlock
n8n-io,n8n,62500,https://github.com/n8n-io/n8n
jesseduffield,lazygit,56900,https://github.com/jesseduffield/lazygit
sharkdp,bat,51200,https://github.com/sharkdp/bat
BurntSushi,ripgrep,50500,https://github.com/BurntSushi/ripgrep
wagoodman,dive,49600,https://github.com/wagoodman/dive
All-Hands-AI,OpenHands,47500,https://github.com/All-Hands-AI/OpenHands
google,zx,43600,https://github.com/google/zx
spf13,cobra,39500,https://github.com/spf13/cobra
chubin,cheat.sh,39000,https://github.com/chubin/cheat.sh
cli,cli,38300,https://github.com/cli/cli
ultralytics,ultralytics,37000,https://github.com/ultralytics/ultralytics
sharkdp,fd,35700,https://github.com/sharkdp/fd
httpie,cli,34900,https://github.com/httpie/cli
alebcay,awesome-shell,33800,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,31600,https://github.com/ibraheemdev/modern-unix
charmbracelet,bubbletea,29700,https://github.com/charmbracelet/bubbletea
tqdm,tqdm,29300,https://github.com/tqdm/tqdm
