username,repo_name,stars,repo_url
vercel,next.js,130000,https://github.com/vercel/next.js
rust-lang,rust,101000,https://github.com/rust-lang/rust
sveltejs,svelte,81500,https://github.com/sveltejs/svelte
webpack,webpack,65099,https://github.com/webpack/webpack
FuelLabs,sway,62500,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55800,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,50100,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,43700,https://github.com/parcel-bundler/parcel
babel,babel,43400,https://github.com/babel/babel
evanw,esbuild,38600,https://github.com/evanw/esbuild
typst,typst,37800,https://github.com/typst/typst
ziglang,zig,37600,https://github.com/ziglang/zig
vlang,v,36100,https://github.com/vlang/v
markedjs,marked,33900,https://github.com/markedjs/marked
carbon-language,carbon-lang,32600,https://github.com/carbon-language/carbon-lang
swc-project,swc,31700,https://github.com/swc-project/swc
vercel,pkg,24400,https://github.com/vercel/pkg
v8,v8,23800,https://github.com/v8/v8
oracle,graal,20600,https://github.com/oracle/graal
RustPython,RustPython,19700,https://github.com/RustPython/RustPython
