username,repo_name,stars,repo_url
bitcoin,bitcoin,82100,https://github.com/bitcoin/bitcoin
freqtrade,freqtrade,36600,https://github.com/freqtrade/freqtrade
OpenBB-finance,OpenBB,36200,https://github.com/OpenBB-finance/OpenBB
ccxt,ccxt,34700,https://github.com/ccxt/ccxt
dogecoin,dogecoin,14900,https://github.com/dogecoin/dogecoin
hummingbot,hummingbot,11300,https://github.com/hummingbot/hummingbot
monero-project,monero,9300,https://github.com/monero-project/monero
xmrig,xmrig,9100,https://github.com/xmrig/xmrig
dvf,blockchain,7900,https://github.com/dvf/blockchain
lightningnetwork,lnd,7800,https://github.com/lightningnetwork/lnd
kroma-network,tachyon,7800,https://github.com/kroma-network/tachyon
StockSharp,StockSharp,7700,https://github.com/StockSharp/StockSharp
firmai,financial-machine-learning,7600,https://github.com/firmai/financial-machine-learning
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
cosmos,cosmos-sdk,6500,https://github.com/cosmos/cosmos-sdk
sammchardy,python-binance,6400,https://github.com/sammchardy/python-binance
jesse-ai,jesse,6100,https://github.com/jesse-ai/jesse
tendermint,tendermint,5800,https://github.com/tendermint/tendermint
chrisleekr,binance-trading-bot,5200,https://github.com/chrisleekr/binance-trading-bot
sea-protocol,seaprotocol,5100,https://github.com/sea-protocol/seaprotocol
