username,repo_name,stars,repo_url
amphp,amp,4300,https://github.com/amphp/amp
danog,MadelineProto,3000,https://github.com/danog/MadelineProto
amphp,parallel,808,https://github.com/amphp/parallel
unreal4u,telegram-api,793,https://github.com/unreal4u/telegram-api
amphp,http-client,711,https://github.com/amphp/http-client
amphp,byte-stream,374,https://github.com/amphp/byte-stream
amphp,mysql,366,https://github.com/amphp/mysql
php-service-bus,service-bus,345,https://github.com/php-service-bus/service-bus
amphp,parallel-functions,272,https://github.com/amphp/parallel-functions
xtrime-ru,TelegramRSS,260,https://github.com/xtrime-ru/TelegramRSS
amphp,socket,242,https://github.com/amphp/socket
amphp,process,238,https://github.com/amphp/process
amphp,sync,170,https://github.com/amphp/sync
amphp,dns,170,https://github.com/amphp/dns
amphp,redis,161,https://github.com/amphp/redis
amphp,websocket-client,150,https://github.com/amphp/websocket-client
kelunik,acme,120,https://github.com/kelunik/acme
amphp,serialization,119,https://github.com/amphp/serialization
amphp,websocket-server,117,https://github.com/amphp/websocket-server
amphp,cache,109,https://github.com/amphp/cache
