username,repo_name,stars,repo_url
bregman-arie,devops-exercises,69500,https://github.com/bregman-arie/devops-exercises
ansible,ansible,64200,https://github.com/ansible/ansible
trailofbits,algo,29200,https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,27700,https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,23200,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,16600,https://github.com/kubernetes-sigs/kubespray
ansible,awx,14400,https://github.com/ansible/awx
semaphoreui,semaphore,11400,https://github.com/semaphoreui/semaphore
easzlab,kubeasz,10700,https://github.com/easzlab/kubeasz
netbootxyz,netboot.xyz,9900,https://github.com/netbootxyz/netboot.xyz
geerlingguy,ansible-for-devops,8700,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,8400,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,8400,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,6200,https://github.com/geerlingguy/mac-dev-playbook
Orange-Cyberdefense,GOAD,6100,https://github.com/Orange-Cyberdefense/GOAD
rundeck,rundeck,5700,https://github.com/rundeck/rundeck
ChristianLempa,boilerplates,5200,https://github.com/ChristianLempa/boilerplates
KubeOperator,KubeOperator,5000,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4700,https://github.com/clong/DetectionLab
dev-sec,ansible-collection-hardening,4200,https://github.com/dev-sec/ansible-collection-hardening
