username,repo_name,stars,repo_url
jellyfin,jellyfin,37500,https://github.com/jellyfin/jellyfin
files-community,Files,36200,https://github.com/files-community/Files
dotnet,aspnetcore,36200,https://github.com/dotnet/aspnetcore
SeleniumHQ,selenium,31700,https://github.com/SeleniumHQ/selenium
AvaloniaUI,Avalonia,26900,https://github.com/AvaloniaUI/Avalonia
pulumi,pulumi,22500,https://github.com/pulumi/pulumi
dotnet,maui,22500,https://github.com/dotnet/maui
icsharpcode,ILSpy,22400,https://github.com/icsharpcode/ILSpy
BeyondDimension,SteamTools,21300,https://github.com/BeyondDimension/SteamTools
dotnet,core,21200,https://github.com/dotnet/core
quozd,awesome-dotnet,19800,https://github.com/quozd/awesome-dotnet
MoienTajik,AspNetCore-Developer-Roadmap,19000,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
dotnet,corefx,17600,https://github.com/dotnet/corefx
ardalis,CleanArchitecture,16800,https://github.com/ardalis/CleanArchitecture
microsoft,react-native-windows,16600,https://github.com/microsoft/react-native-windows
bitwarden,server,16200,https://github.com/bitwarden/server
dotnet,runtime,15900,https://github.com/dotnet/runtime
amplication,amplication,15500,https://github.com/amplication/amplication
OpenRA,OpenRA,15200,https://github.com/OpenRA/OpenRA
App-vNext,Polly,13600,https://github.com/App-vNext/Polly
