username,repo_name,stars,repo_url
bitwarden,server,16200,https://github.com/bitwarden/server
abpframework,abp,13200,https://github.com/abpframework/abp
dotnet,AspNetCore.Docs,12800,https://github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,11900,https://github.com/aspnetboilerplate/aspnetboilerplate
nopSolutions,nopCommerce,9500,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,7400,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,7300,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,6900,https://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,4900,https://github.com/FastEndpoints/FastEndpoints
dotnet,aspnet-api-versioning,3100,https://github.com/dotnet/aspnet-api-versioning
mjebrahimi,Awesome-Microservices-DotNet,2900,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
milanm,DotNet-Developer-Roadmap,2700,https://github.com/milanm/DotNet-Developer-Roadmap
loic-sharma,BaGet,2700,https://github.com/loic-sharma/BaGet
smartstore,SmartStoreNET,2600,https://github.com/smartstore/SmartStoreNET
serenity-is,Serenity,2600,https://github.com/serenity-is/Serenity
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
MarimerLLC,csla,1300,https://github.com/MarimerLLC/csla
smartstore,Smartstore,1300,https://github.com/smartstore/Smartstore
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
