username,repo_name,stars,repo_url
bregman-arie,devops-exercises,69500,https://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,68900,https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,57900,https://github.com/localstack/localstack
serverless,serverless,46600,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,27900,https://github.com/donnemartin/data-science-ipython-notebooks
danny-avila,LibreChat,22600,https://github.com/danny-avila/LibreChat
pulumi,pulumi,22500,https://github.com/pulumi/pulumi
getsops,sops,17900,https://github.com/getsops/sops
kubernetes-sigs,kubespray,16600,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,15800,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,15200,https://github.com/ramitsurana/awesome-kubernetes
milanm,DevOps-Roadmap,14100,https://github.com/milanm/DevOps-Roadmap
caprover,caprover,13700,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,13200,https://github.com/GoogleCloudPlatform/terraformer
donnemartin,awesome-aws,12700,https://github.com/donnemartin/awesome-aws
aws,aws-cdk,12000,https://github.com/aws/aws-cdk
prowler-cloud,prowler,11300,https://github.com/prowler-cloud/prowler
infracost,infracost,11300,https://github.com/infracost/infracost
apereo,cas,11000,https://github.com/apereo/cas
aws,chalice,10800,https://github.com/aws/chalice
