username,repo_name,stars,repo_url
flutter,flutter,169000,https://github.com/flutter/flutter
facebook,react-native,121000,https://github.com/facebook/react-native
Genymobile,scrcpy,118000,https://github.com/Genymobile/scrcpy
justjavac,free-programming-books-zh_CN,113000,https://github.com/justjavac/free-programming-books-zh_CN
Hack-with-Github,Awesome-Hacking,89400,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,54900,https://github.com/Solido/awesome-flutter
tldr-pages,tldr,53800,https://github.com/tldr-pages/tldr
wasabeef,awesome-android-ui,51700,https://github.com/wasabeef/awesome-android-ui
google,material-design-icons,51200,https://github.com/google/material-design-icons
laurent22,joplin,47900,https://github.com/laurent22/joplin
appwrite,appwrite,47400,https://github.com/appwrite/appwrite
square,okhttp,46200,https://github.com/square/okhttp
android,architecture-samples,44800,https://github.com/android/architecture-samples
square,retrofit,43300,https://github.com/square/retrofit
skylot,jadx,43000,https://github.com/skylot/jadx
dcloudio,uni-app,40500,https://github.com/dcloudio/uni-app
fastlane,fastlane,39900,https://github.com/fastlane/fastlane
termux,termux-app,39300,https://github.com/termux/termux-app
2dust,v2rayNG,38700,https://github.com/2dust/v2rayNG
PhilJay,MPAndroidChart,37800,https://github.com/PhilJay/MPAndroidChart
