username,repo_name,stars,repo_url
microsoft,generative-ai-for-beginners,71600,https://github.com/microsoft/generative-ai-for-beginners
bregman-arie,devops-exercises,69500,https://github.com/bregman-arie/devops-exercises
danny-avila,LibreChat,22600,https://github.com/danny-avila/LibreChat
pulumi,pulumi,22500,https://github.com/pulumi/pulumi
getsops,sops,17900,https://github.com/getsops/sops
ramitsurana,awesome-kubernetes,15200,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,14200,https://github.com/Azure/azure-quickstart-templates
milanm,DevOps-Roadmap,14100,https://github.com/milanm/DevOps-Roadmap
caprover,caprover,13700,https://github.com/caprover/caprover
prowler-cloud,prowler,11300,https://github.com/prowler-cloud/prowler
infracost,infracost,11300,https://github.com/infracost/infracost
budtmo,docker-android,10400,https://github.com/budtmo/docker-android
google,go-cloud,9600,https://github.com/google/go-cloud
microsoft,computervision-recipes,9600,https://github.com/microsoft/computervision-recipes
Netflix,metaflow,8600,https://github.com/Netflix/metaflow
YSGStudyHards,DotNetGuide,7800,https://github.com/YSGStudyHards/DotNetGuide
microsoft,azuredatastudio,7700,https://github.com/microsoft/azuredatastudio
midwayjs,midway,7500,https://github.com/midwayjs/midway
bridgecrewio,checkov,7400,https://github.com/bridgecrewio/checkov
thangchung,clean-code-dotnet,7300,https://github.com/thangchung/clean-code-dotnet
