username,repo_name,stars,repo_url
jellyfin,jellyfin,37500,https://github.com/jellyfin/jellyfin
files-community,Files,36200,https://github.com/files-community/Files
doocs,leetcode,33100,https://github.com/doocs/leetcode
ShareX,ShareX,31000,https://github.com/ShareX/ShareX
microsoft,calculator,30100,https://github.com/microsoft/calculator
DevToys-app,DevToys,28100,https://github.com/DevToys-app/DevToys
AvaloniaUI,Avalonia,26900,https://github.com/AvaloniaUI/Avalonia
mxgmn,WaveFunctionCollapse,23800,https://github.com/mxgmn/WaveFunctionCollapse
pulumi,pulumi,22500,https://github.com/pulumi/pulumi
BeyondDimension,SteamTools,21300,https://github.com/BeyondDimension/SteamTools
thangchung,awesome-dotnet-core,20200,https://github.com/thangchung/awesome-dotnet-core
quozd,awesome-dotnet,19800,https://github.com/quozd/awesome-dotnet
dotnet,roslyn,19300,https://github.com/dotnet/roslyn
MoienTajik,AspNetCore-Developer-Roadmap,19000,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
dotnet,corefx,17600,https://github.com/dotnet/corefx
antlr,antlr4,17600,https://github.com/antlr/antlr4
peass-ng,PEASS-ng,16900,https://github.com/peass-ng/PEASS-ng
ardalis,CleanArchitecture,16800,https://github.com/ardalis/CleanArchitecture
bitwarden,server,16200,https://github.com/bitwarden/server
rocksdanister,lively,15800,https://github.com/rocksdanister/lively
