username,repo_name,stars,repo_url
twbs,bootstrap,172000,https://github.com/twbs/bootstrap
Chalarangelo,30-seconds-of-code,123000,https://github.com/Chalarangelo/30-seconds-of-code
electron,electron,116000,https://github.com/electron/electron
tailwindlabs,tailwindcss,86000,https://github.com/tailwindlabs/tailwindcss
microsoft,Web-Dev-For-Beginners,85300,https://github.com/microsoft/Web-Dev-For-Beginners
florinpop17,app-ideas,82300,https://github.com/florinpop17/app-ideas
animate-css,animate.css,81400,https://github.com/animate-css/animate.css
FortAwesome,Font-Awesome,74700,https://github.com/FortAwesome/Font-Awesome
thedaviddias,Front-End-Checklist,69600,https://github.com/thedaviddias/Front-End-Checklist
h5bp,html5-boilerplate,56800,https://github.com/h5bp/html5-boilerplate
necolas,normalize.css,52800,https://github.com/necolas/normalize.css
juliangarnier,anime,50900,https://github.com/juliangarnier/anime
prettier,prettier,50000,https://github.com/prettier/prettier
jgthms,bulma,49600,https://github.com/jgthms/bulma
Asabeneh,30-Days-Of-JavaScript,44000,https://github.com/Asabeneh/30-Days-Of-JavaScript
vercel,hyper,43700,https://github.com/vercel/hyper
parcel-bundler,parcel,43700,https://github.com/parcel-bundler/parcel
yangshun,front-end-interview-handbook,42400,https://github.com/yangshun/front-end-interview-handbook
styled-components,styled-components,40700,https://github.com/styled-components/styled-components
Dogfalo,materialize,38900,https://github.com/Dogfalo/materialize
