username,repo_name,stars,repo_url
jaywcjlove,linux-command,32900,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,25900,https://github.com/refined-github/refined-github
openai-translator,openai-translator,24200,https://github.com/openai-translator/openai-translator
darkreader,darkreader,20300,https://github.com/darkreader/darkreader
dailydotdev,daily,19200,https://github.com/dailydotdev/daily
gildas-lormeau,SingleFile,16900,https://github.com/gildas-lormeau/SingleFile
checkly,headless-recorder,15100,https://github.com/checkly/headless-recorder
AutomaApp,automa,14900,https://github.com/AutomaApp/automa
immersive-translate,immersive-translate,14800,https://github.com/immersive-translate/immersive-translate
unbug,codelf,14200,https://github.com/unbug/codelf
alyssaxuu,screenity,13700,https://github.com/alyssaxuu/screenity
wong2,chatgpt-google-extension,13200,https://github.com/wong2/chatgpt-google-extension
Anarios,return-youtube-dislike,12900,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,12300,https://github.com/crimx/ext-saladict
xifangczy,cat-catch,11600,https://github.com/xifangczy/cat-catch
listen1,listen1_chrome_extension,11600,https://github.com/listen1/listen1_chrome_extension
PlasmoHQ,plasmo,11200,https://github.com/PlasmoHQ/plasmo
ajayyy,SponsorBlock,10900,https://github.com/ajayyy/SponsorBlock
josStorer,chatGPTBox,10400,https://github.com/josStorer/chatGPTBox
chathub-dev,chathub,10200,https://github.com/chathub-dev/chathub
