username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,176000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,68300,https://github.com/junegunn/fzf
n8n-io,n8n,63400,https://github.com/n8n-io/n8n
sherlock-project,sherlock,62700,https://github.com/sherlock-project/sherlock
jesseduffield,lazygit,57100,https://github.com/jesseduffield/lazygit
sharkdp,bat,51300,https://github.com/sharkdp/bat
BurntSushi,ripgrep,50700,https://github.com/BurntSushi/ripgrep
wagoodman,dive,49700,https://github.com/wagoodman/dive
All-Hands-AI,OpenHands,48100,https://github.com/All-Hands-AI/OpenHands
google,zx,43700,https://github.com/google/zx
spf13,cobra,39600,https://github.com/spf13/cobra
chubin,cheat.sh,39000,https://github.com/chubin/cheat.sh
cli,cli,38400,https://github.com/cli/cli
ultralytics,ultralytics,37200,https://github.com/ultralytics/ultralytics
sharkdp,fd,35700,https://github.com/sharkdp/fd
httpie,cli,34900,https://github.com/httpie/cli
alebcay,awesome-shell,33800,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,31700,https://github.com/ibraheemdev/modern-unix
charmbracelet,bubbletea,29800,https://github.com/charmbracelet/bubbletea
tqdm,tqdm,29400,https://github.com/tqdm/tqdm
