username,repo_name,stars,repo_url
localstack,localstack,57900,https://github.com/localstack/localstack
harness,harness,32500,https://github.com/harness/harness
jenkinsci,jenkins,23700,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,15000,https://github.com/auchenberg/volkswagen
milanm,DevOps-Roadmap,14100,https://github.com/milanm/DevOps-Roadmap
dagger,dagger,12100,https://github.com/dagger/dagger
openshift,origin,8500,https://github.com/openshift/origin
concourse,concourse,7500,https://github.com/concourse/concourse
gocd,gocd,7200,https://github.com/gocd/gocd
Flagsmith,flagsmith,5400,https://github.com/Flagsmith/flagsmith
buildbot,buildbot,5300,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,5200,https://github.com/gaia-pipeline/gaia
ovh,cds,4700,https://github.com/ovh/cds
TheLartians,ModernCppStarter,4600,https://github.com/TheLartians/ModernCppStarter
jenkins-x,jx,4600,https://github.com/jenkins-x/jx
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
JamesIves,github-pages-deploy-action,4400,https://github.com/JamesIves/github-pages-deploy-action
werf,werf,4300,https://github.com/werf/werf
SamKirkland,FTP-Deploy-Action,4100,https://github.com/SamKirkland/FTP-Deploy-Action
iterative,cml,4100,https://github.com/iterative/cml
