username,repo_name,stars,repo_url
jwasham,coding-interview-university,312000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,190000,https://github.com/trekhleb/javascript-algorithms
labuladong,fucking-algorithm,127000,https://github.com/labuladong/fucking-algorithm
krahets,hello-algo,109000,https://github.com/krahets/hello-algo
TheAlgorithms,Java,60900,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,55100,https://github.com/azl397985856/leetcode
huihut,interview,35500,https://github.com/huihut/interview
TheAlgorithms,JavaScript,32900,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,31300,https://github.com/TheAlgorithms/C-Plus-Plus
kodecocodes,swift-algorithm-club,29000,https://github.com/kodecocodes/swift-algorithm-club
TheAlgorithms,Rust,23500,https://github.com/TheAlgorithms/Rust
OI-wiki,OI-wiki,22200,https://github.com/OI-wiki/OI-wiki
TheAlgorithms,C,19800,https://github.com/TheAlgorithms/C
kunal-kushwaha,DSA-Bootcamp-Java,18400,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
TheAlgorithms,Go,16600,https://github.com/TheAlgorithms/Go
gyoogle,tech-interview-for-developer,15300,https://github.com/gyoogle/tech-interview-for-developer
careercup,CtCI-6th-Edition,11400,https://github.com/careercup/CtCI-6th-Edition
AkashSingh3031,The-Complete-FAANG-Preparation,11000,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
seanprashad,leetcode-patterns,10500,https://github.com/seanprashad/leetcode-patterns
changgyhub,leetcode_101,9200,https://github.com/changgyhub/leetcode_101
