username,repo_name,stars,repo_url
d3,d3,110000,https://github.com/d3/d3
netdata,netdata,73600,https://github.com/netdata/netdata
grafana,grafana,66700,https://github.com/grafana/grafana
apache,superset,64700,https://github.com/apache/superset
apache,echarts,62000,https://github.com/apache/echarts
pixijs,pixijs,44600,https://github.com/pixijs/pixijs
metabase,metabase,41000,https://github.com/metabase/metabase
streamlit,streamlit,37800,https://github.com/streamlit/streamlit
gradio-app,gradio,36400,https://github.com/gradio-app/gradio
directus,directus,29400,https://github.com/directus/directus
microsoft,Data-Science-For-Beginners,28900,https://github.com/microsoft/Data-Science-For-Beginners
academic,awesome-datascience,25800,https://github.com/academic/awesome-datascience
plotly,dash,22000,https://github.com/plotly/dash
matplotlib,matplotlib,20800,https://github.com/matplotlib/matplotlib
airbnb,visx,19800,https://github.com/airbnb/visx
ml-tooling,best-of-ml-python,19700,https://github.com/ml-tooling/best-of-ml-python
dataease,dataease,19400,https://github.com/dataease/dataease
Avaiga,taipy,17800,https://github.com/Avaiga/taipy
plotly,plotly.js,17400,https://github.com/plotly/plotly.js
sinaptik-ai,pandas-ai,16800,https://github.com/sinaptik-ai/pandas-ai
