username,repo_name,stars,repo_url
supabase,supabase,78100,https://github.com/supabase/supabase
netdata,netdata,73600,https://github.com/netdata/netdata
redis,redis,68100,https://github.com/redis/redis
meilisearch,meilisearch,49500,https://github.com/meilisearch/meilisearch
etcd-io,etcd,48500,https://github.com/etcd-io/etcd
dbeaver,dbeaver,42000,https://github.com/dbeaver/dbeaver
LeCoupa,awesome-cheatsheets,41700,https://github.com/LeCoupa/awesome-cheatsheets
prisma,prisma,41300,https://github.com/prisma/prisma
metabase,metabase,41000,https://github.com/metabase/metabase
ClickHouse,ClickHouse,39200,https://github.com/ClickHouse/ClickHouse
pingcap,tidb,38000,https://github.com/pingcap/tidb
QuivrHQ,quivr,37400,https://github.com/QuivrHQ/quivr
huihut,interview,35500,https://github.com/huihut/interview
SheetJS,sheetjs,35400,https://github.com/SheetJS/sheetjs
typeorm,typeorm,34900,https://github.com/typeorm/typeorm
sqlmapproject,sqlmap,33400,https://github.com/sqlmapproject/sqlmap
cockroachdb,cockroach,30600,https://github.com/cockroachdb/cockroach
influxdata,influxdb,29600,https://github.com/influxdata/influxdb
directus,directus,29400,https://github.com/directus/directus
facebook,rocksdb,29200,https://github.com/facebook/rocksdb
