username,repo_name,stars,repo_url
tensorflow,tensorflow,188000,https://github.com/tensorflow/tensorflow
AUTOMATIC1111,stable-diffusion-webui,149000,https://github.com/AUTOMATIC1111/stable-diffusion-webui
huggingface,transformers,140000,https://github.com/huggingface/transformers
pytorch,pytorch,87300,https://github.com/pytorch/pytorch
opencv,opencv,80800,https://github.com/opencv/opencv
Developer-Y,cs-video-courses,68200,https://github.com/Developer-Y/cs-video-courses
d2l-ai,d2l-zh,66200,https://github.com/d2l-ai/d2l-zh
keras-team,keras,62600,https://github.com/keras-team/keras
labmlai,annotated_deep_learning_paper_implementations,58800,https://github.com/labmlai/annotated_deep_learning_paper_implementations
dair-ai,Prompt-Engineering-Guide,53700,https://github.com/dair-ai/Prompt-Engineering-Guide
CorentinJ,Real-Time-Voice-Cloning,53600,https://github.com/CorentinJ/Real-Time-Voice-Cloning
deepfakes,faceswap,53400,https://github.com/deepfakes/faceswap
ultralytics,yolov5,52600,https://github.com/ultralytics/yolov5
Avik-Jain,100-Days-Of-ML-Code,46500,https://github.com/Avik-Jain/100-Days-Of-ML-Code
aymericdamien,TensorFlow-Examples,43500,https://github.com/aymericdamien/TensorFlow-Examples
infiniflow,ragflow,41300,https://github.com/infiniflow/ragflow
hpcaitech,ColossalAI,40500,https://github.com/hpcaitech/ColossalAI
floodsung,Deep-Learning-Papers-Reading-Roadmap,38800,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
GokuMohandas,Made-With-ML,38200,https://github.com/GokuMohandas/Made-With-ML
coqui-ai,TTS,38000,https://github.com/coqui-ai/TTS
