username,repo_name,stars,repo_url
webpro-nl,knip,7600,https://github.com/webpro-nl/knip
gauge-sh,tach,2100,https://github.com/gauge-sh/tach
pyupio,safety,1800,https://github.com/pyupio/safety
pointfreeco,swift-dependencies,1700,https://github.com/pointfreeco/swift-dependencies
GetStream,vg,1300,https://github.com/GetStream/vg
ehmicky,nve,698,https://github.com/ehmicky/nve
gradle,gradle-build-action,690,https://github.com/gradle/gradle-build-action
coenjacobs,mozart,440,https://github.com/coenjacobs/mozart
kiliankoe,swift-outdated,348,https://github.com/kiliankoe/swift-outdated
bureado,awesome-software-supply-chain-security,307,https://github.com/bureado/awesome-software-supply-chain-security
thoth-station,micropipenv,236,https://github.com/thoth-station/micropipenv
gradle,actions,191,https://github.com/gradle/actions
go-kod,kod,177,https://github.com/go-kod/kod
abdes,asap,141,https://github.com/abdes/asap
netlify,framework-info,135,https://github.com/netlify/framework-info
dfed,SafeDI,131,https://github.com/dfed/SafeDI
vishalgarg-sec,Software-Supply-Chain-Security,131,https://github.com/vishalgarg-sec/Software-Supply-Chain-Security
aaronpeikert,reproducible-research,124,https://github.com/aaronpeikert/reproducible-research
silverwind,updates,103,https://github.com/silverwind/updates
momosecurity,mosec-maven-plugin,103,https://github.com/momosecurity/mosec-maven-plugin
