username,repo_name,stars,repo_url
fastlane,fastlane,39900,https://github.com/fastlane/fastlane
ray-project,ray,35700,https://github.com/ray-project/ray
Dokploy,dokploy,17400,https://github.com/Dokploy/dokploy
caprover,caprover,13700,https://github.com/caprover/caprover
capistrano,capistrano,12800,https://github.com/capistrano/capistrano
dagger,dagger,12100,https://github.com/dagger/dagger
deployphp,deployer,10700,https://github.com/deployphp/deployer
AppImage,AppImageKit,8900,https://github.com/AppImage/AppImageKit
apex,up,8800,https://github.com/apex/up
chef,chef,7700,https://github.com/chef/chef
gitname,react-gh-pages,6700,https://github.com/gitname/react-gh-pages
xorbitsai,inference,6700,https://github.com/xorbitsai/inference
MightyMoud,sidekick,6500,https://github.com/MightyMoud/sidekick
node-config,node-config,6300,https://github.com/node-config/node-config
shuttle-hq,shuttle,6300,https://github.com/shuttle-hq/shuttle
StackStorm,st2,6200,https://github.com/StackStorm/st2
rundeck,rundeck,5700,https://github.com/rundeck/rundeck
meefik,linuxdeploy,5400,https://github.com/meefik/linuxdeploy
shipitjs,shipit,5300,https://github.com/shipitjs/shipit
gaia-pipeline,gaia,5200,https://github.com/gaia-pipeline/gaia
