username,repo_name,stars,repo_url
django,django,82500,https://github.com/django/django
LeCoupa,awesome-cheatsheets,41700,https://github.com/LeCoupa/awesome-cheatsheets
getsentry,sentry,40100,https://github.com/getsentry/sentry
makeplane,plane,32700,https://github.com/makeplane/plane
encode,django-rest-framework,28800,https://github.com/encode/django-rest-framework
jumpserver,jumpserver,26200,https://github.com/jumpserver/jumpserver
paperless-ngx,paperless-ngx,25300,https://github.com/paperless-ngx/paperless-ngx
wagtail,wagtail,18800,https://github.com/wagtail/wagtail
netbox-community,netbox,17000,https://github.com/netbox-community/netbox
ansible,awx,14400,https://github.com/ansible/awx
cookiecutter,cookiecutter-django,12500,https://github.com/cookiecutter/cookiecutter-django
Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
django-cms,django-cms,10400,https://github.com/django-cms/django-cms
wsvincent,awesome-django,10000,https://github.com/wsvincent/awesome-django
pennersr,django-allauth,9800,https://github.com/pennersr/django-allauth
healthchecks,healthchecks,8600,https://github.com/healthchecks/healthchecks
vitalik,django-ninja,7800,https://github.com/vitalik/django-ninja
LibrePhotos,librephotos,7200,https://github.com/LibrePhotos/librephotos
joerick,pyinstrument,6900,https://github.com/joerick/pyinstrument
liangliangyy,DjangoBlog,6800,https://github.com/liangliangyy/DjangoBlog
