username,repo_name,stars,repo_url
macrozheng,mall,79200,https://github.com/macrozheng/mall
netdata,netdata,73600,https://github.com/netdata/netdata
bregman-arie,devops-exercises,69500,https://github.com/bregman-arie/devops-exercises
moby,moby,69300,https://github.com/moby/moby
louislam,uptime-kuma,65200,https://github.com/louislam/uptime-kuma
n8n-io,n8n,63400,https://github.com/n8n-io/n8n
traefik,traefik,53400,https://github.com/traefik/traefik
Stirling-Tools,Stirling-PDF,52600,https://github.com/Stirling-Tools/Stirling-PDF
sickcodes,Docker-OSX,49800,https://github.com/sickcodes/Docker-OSX
wagoodman,dive,49700,https://github.com/wagoodman/dive
mastodon,mastodon,47800,https://github.com/mastodon/mastodon
appwrite,appwrite,47400,https://github.com/appwrite/appwrite
gogs,gogs,45500,https://github.com/gogs/gogs
dani-garcia,vaultwarden,42100,https://github.com/dani-garcia/vaultwarden
LeCoupa,awesome-cheatsheets,41700,https://github.com/LeCoupa/awesome-cheatsheets
Kong,kong,40200,https://github.com/Kong/kong
coollabsio,coolify,37800,https://github.com/coollabsio/coolify
usememos,memos,37400,https://github.com/usememos/memos
QuivrHQ,quivr,37400,https://github.com/QuivrHQ/quivr
ToolJet,ToolJet,34800,https://github.com/ToolJet/ToolJet
