username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,155000,https://github.com/jlevy/the-art-of-command-line
storybookjs,storybook,86000,https://github.com/storybookjs/storybook
mermaid-js,mermaid,76200,https://github.com/mermaid-js/mermaid
AppFlowy-IO,AppFlowy,61000,https://github.com/AppFlowy-IO/AppFlowy
facebook,docusaurus,58500,https://github.com/facebook/docusaurus
tldr-pages,tldr,53800,https://github.com/tldr-pages/tldr
charlax,professional-programming,47400,https://github.com/charlax/professional-programming
chubin,cheat.sh,39000,https://github.com/chubin/cheat.sh
satwikkansal,wtfpython,36000,https://github.com/satwikkansal/wtfpython
freeCodeCamp,devdocs,35800,https://github.com/freeCodeCamp/devdocs
docsifyjs,docsify,28800,https://github.com/docsifyjs/docsify
GitbookIO,gitbook,27600,https://github.com/GitbookIO/gitbook
requarks,wiki,25700,https://github.com/requarks/wiki
doczjs,docz,23700,https://github.com/doczjs/docz
shimohq,chinese-programmer-wrong-pronunciation,22400,https://github.com/shimohq/chinese-programmer-wrong-pronunciation
squidfunk,mkdocs-material,22300,https://github.com/squidfunk/mkdocs-material
mkdocs,mkdocs,20000,https://github.com/mkdocs/mkdocs
nhn,tui.editor,17400,https://github.com/nhn/tui.editor
BookStackApp,BookStack,16100,https://github.com/BookStackApp/BookStack
SimulatedGREG,electron-vue,15500,https://github.com/SimulatedGREG/electron-vue
