username,repo_name,stars,repo_url
airbnb,javascript,146000,https://github.com/airbnb/javascript
goldbergyoni,nodebestpractices,102000,https://github.com/goldbergyoni/nodebestpractices
standard,standard,29300,https://github.com/standard/standard
eslint,eslint,25600,https://github.com/eslint/eslint
electron-react-boilerplate,electron-react-boilerplate,23500,https://github.com/electron-react-boilerplate/electron-react-boilerplate
verekia,js-stack-from-scratch,20100,https://github.com/verekia/js-stack-from-scratch
typescript-eslint,typescript-eslint,15500,https://github.com/typescript-eslint/typescript-eslint
grab,front-end-guide,15200,https://github.com/grab/front-end-guide
lint-staged,lint-staged,13700,https://github.com/lint-staged/lint-staged
noodle-run,noodle,12400,https://github.com/noodle-run/noodle
jsx-eslint,eslint-plugin-react,9100,https://github.com/jsx-eslint/eslint-plugin-react
themesberg,flowbite,8300,https://github.com/themesberg/flowbite
xojs,xo,7700,https://github.com/xojs/xo
Blazity,next-enterprise,6600,https://github.com/Blazity/next-enterprise
microsoft,rushstack,6100,https://github.com/microsoft/rushstack
un-pany,v3-admin-vite,5800,https://github.com/un-pany/v3-admin-vite
import-js,eslint-plugin-import,5700,https://github.com/import-js/eslint-plugin-import
prettier,eslint-config-prettier,5600,https://github.com/prettier/eslint-config-prettier
steven-tey,precedent,4900,https://github.com/steven-tey/precedent
emacs-lsp,lsp-mode,4900,https://github.com/emacs-lsp/lsp-mode
