username,repo_name,stars,repo_url
microsoft,vscode,168000,https://github.com/microsoft/vscode
electron,electron,116000,https://github.com/electron/electron
microsoft,playwright,69700,https://github.com/microsoft/playwright
atom,atom,60300,https://github.com/atom/atom
marktext,marktext,48700,https://github.com/marktext/marktext
laurent22,joplin,47900,https://github.com/laurent22/joplin
agalwood,Motrix,46800,https://github.com/agalwood/Motrix
toeverything,AFFiNE,46100,https://github.com/toeverything/AFFiNE
lyswhut,lx-music-desktop,42500,https://github.com/lyswhut/lx-music-desktop
GitSquared,edex-ui,41700,https://github.com/GitSquared/edex-ui
upscayl,upscayl,35300,https://github.com/upscayl/upscayl
nativefier,nativefier,35100,https://github.com/nativefier/nativefier
typeorm,typeorm,34900,https://github.com/typeorm/typeorm
siyuan-note,siyuan,32299,https://github.com/siyuan-note/siyuan
qier222,YesPlayMusic,30400,https://github.com/qier222/YesPlayMusic
zadam,trilium,28200,https://github.com/zadam/trilium
janhq,jan,27800,https://github.com/janhq/jan
quasarframework,quasar,26300,https://github.com/quasarframework/quasar
sindresorhus,awesome-electron,26100,https://github.com/sindresorhus/awesome-electron
nylas,nylas-mail,24800,https://github.com/nylas/nylas-mail
