username,repo_name,stars,repo_url
anoma,anoma,26900,https://github.com/anoma/anoma
asdf-vm,asdf,23000,https://github.com/asdf-vm/asdf
phoenixframework,phoenix,21800,https://github.com/phoenixframework/phoenix
plausible,analytics,21600,https://github.com/plausible/analytics
lk-geimfari,awesomo,9500,https://github.com/lk-geimfari/awesomo
benawad,dogehouse,9100,https://github.com/benawad/dogehouse
electric-sql,electric,7500,https://github.com/electric-sql/electric
firezone,firezone,7100,https://github.com/firezone/firezone
supabase,realtime,6900,https://github.com/supabase/realtime
oldratlee,translations,6900,https://github.com/oldratlee/translations
papercups-io,papercups,5800,https://github.com/papercups-io/papercups
livebook-dev,livebook,5200,https://github.com/livebook-dev/livebook
rrrene,credo,5000,https://github.com/rrrene/credo
dependabot,dependabot-core,4900,https://github.com/dependabot/dependabot-core
extism,extism,4700,https://github.com/extism/extism
rusterlium,rustler,4400,https://github.com/rusterlium/rustler
christopheradams,elixir_style_guide,4400,https://github.com/christopheradams/elixir_style_guide
absinthe-graphql,absinthe,4300,https://github.com/absinthe-graphql/absinthe
ergo-services,ergo,3800,https://github.com/ergo-services/ergo
blockscout,blockscout,3800,https://github.com/blockscout/blockscout
