username,repo_name,stars,repo_url
khoj-ai,khoj,26400,https://github.com/khoj-ai/khoj
syl20bnr,spacemacs,23800,https://github.com/syl20bnr/spacemacs
doomemacs,doomemacs,20000,https://github.com/doomemacs/doomemacs
atlas-engineer,nyxt,10200,https://github.com/atlas-engineer/nyxt
emacs-tw,awesome-emacs,8700,https://github.com/emacs-tw/awesome-emacs
magit,magit,6700,https://github.com/magit/magit
bbatsov,prelude,5100,https://github.com/bbatsov/prelude
emacs-lsp,lsp-mode,4900,https://github.com/emacs-lsp/lsp-mode
remacs,remacs,4600,https://github.com/remacs/remacs
jwiegley,use-package,4400,https://github.com/jwiegley/use-package
bbatsov,projectile,4000,https://github.com/bbatsov/projectile
clojure-emacs,cider,3600,https://github.com/clojure-emacs/cider
emacs-evil,evil,3500,https://github.com/emacs-evil/evil
emacs-helm,helm,3400,https://github.com/emacs-helm/helm
emacs-eaf,emacs-application-framework,3200,https://github.com/emacs-eaf/emacs-application-framework
radian-software,straight.el,2800,https://github.com/radian-software/straight.el
rougier,nano-emacs,2600,https://github.com/rougier/nano-emacs
200ok-ch,organice,2500,https://github.com/200ok-ch/organice
d12frosted,homebrew-emacs-plus,2500,https://github.com/d12frosted/homebrew-emacs-plus
flycheck,flycheck,2400,https://github.com/flycheck/flycheck
