username,repo_name,stars,repo_url
discourse,discourse,43300,https://github.com/discourse/discourse
emberjs,ember.js,22500,https://github.com/emberjs/ember.js
ShareDropio,sharedrop,10500,https://github.com/ShareDropio/sharedrop
text-mask,text-mask,8300,https://github.com/text-mask/text-mask
getsentry,sentry-javascript,8100,https://github.com/getsentry/sentry-javascript
ember-cli,ember-cli,3300,https://github.com/ember-cli/ember-cli
emberjs,data,3100,https://github.com/emberjs/data
matschik,component-party.dev,2900,https://github.com/matschik/component-party.dev
krakenjs,zoid,2100,https://github.com/krakenjs/zoid
mainmatter,ember-simple-auth,1900,https://github.com/mainmatter/ember-simple-auth
Addepar,ember-table,1700,https://github.com/Addepar/ember-table
FancyGrid,awesome-grid,1500,https://github.com/FancyGrid/awesome-grid
Shopify,storefront-api-examples,1100,https://github.com/Shopify/storefront-api-examples
emberjs,ember-inspector,966,https://github.com/emberjs/ember-inspector
adopted-ember-addons,ember-paper,888,https://github.com/adopted-ember-addons/ember-paper
miragejs,ember-cli-mirage,865,https://github.com/miragejs/ember-cli-mirage
adopted-ember-addons,ember-electron,805,https://github.com/adopted-ember-addons/ember-electron
emberjs,rfcs,793,https://github.com/emberjs/rfcs
emberjs,website,656,https://github.com/emberjs/website
TryGhost,Admin,624,https://github.com/TryGhost/Admin
