username,repo_name,stars,repo_url
Textualize,rich,50900,https://github.com/Textualize/rich
marktext,marktext,48700,https://github.com/marktext/marktext
twitter,twemoji,17000,https://github.com/twitter/twemoji
carloscuesta,gitmoji,16100,https://github.com/carloscuesta/gitmoji
tindy2013,subconverter,14000,https://github.com/tindy2013/subconverter
ikatyang,emoji-cheat-sheet,12800,https://github.com/ikatyang/emoji-cheat-sheet
microsoft,fluentui-emoji,9300,https://github.com/microsoft/fluentui-emoji
missive,emoji-mart,8900,https://github.com/missive/emoji-mart
iconify,iconify,5000,https://github.com/iconify/iconify
carloscuesta,gitmoji-cli,4700,https://github.com/carloscuesta/gitmoji-cli
github,gemoji,4400,https://github.com/github/gemoji
burhanrashid52,PhotoEditor,4200,https://github.com/burhanrashid52/PhotoEditor
hfg-gmuend,openmoji,4000,https://github.com/hfg-gmuend/openmoji
coding,Coding-iOS,3800,https://github.com/coding/Coding-iOS
MariaLetta,free-gophers-pack,3700,https://github.com/MariaLetta/free-gophers-pack
twitter,twitter-text,3100,https://github.com/twitter/twitter-text
getActivity,EmojiPackage,2700,https://github.com/getActivity/EmojiPackage
contour-terminal,contour,2600,https://github.com/contour-terminal/contour
muan,emoji,2300,https://github.com/muan/emoji
muan,mojibar,2000,https://github.com/muan/mojibar
