username,repo_name,stars,repo_url
copy,v86,20400,https://github.com/copy/v86
shadps4-emu,shadPS4,18900,https://github.com/shadps4-emu/shadPS4
ish-app,ish,17700,https://github.com/ish-app/ish
OpenEmu,OpenEmu,16400,https://github.com/OpenEmu/OpenEmu
RPCS3,rpcs3,16300,https://github.com/RPCS3/rpcs3
ruffle-rs,ruffle,16200,https://github.com/ruffle-rs/ruffle
dolphin-emu,dolphin,13400,https://github.com/dolphin-emu/dolphin
PCSX2,pcsx2,12600,https://github.com/PCSX2/pcsx2
budtmo,docker-android,10400,https://github.com/budtmo/docker-android
xenia-project,xenia,8500,https://github.com/xenia-project/xenia
amitshekhariitbhu,Android-Debug-Database,8500,https://github.com/amitshekhariitbhu/Android-Debug-Database
felixrieseberg,macintosh.js,8300,https://github.com/felixrieseberg/macintosh.js
stenzek,duckstation,8000,https://github.com/stenzek/duckstation
unicorn-engine,unicorn,7900,https://github.com/unicorn-engine/unicorn
cemu-project,Cemu,7800,https://github.com/cemu-project/Cemu
azerothcore,azerothcore-wotlk,6900,https://github.com/azerothcore/azerothcore-wotlk
bfirsh,jsnes,6200,https://github.com/bfirsh/jsnes
Provenance-Emu,Provenance,6100,https://github.com/Provenance-Emu/Provenance
mgba-emu,mgba,6000,https://github.com/mgba-emu/mgba
mininet,mininet,5500,https://github.com/mininet/mininet
