username,repo_name,stars,repo_url
ethereum,go-ethereum,48500,https://github.com/ethereum/go-ethereum
ccxt,ccxt,34800,https://github.com/ccxt/ccxt
unionlabs,union,32000,https://github.com/unionlabs/union
shardeum,shardeum,31800,https://github.com/shardeum/shardeum
OpenZeppelin,openzeppelin-contracts,25500,https://github.com/OpenZeppelin/openzeppelin-contracts
ethereum,solidity,24000,https://github.com/ethereum/solidity
ethereumbook,ethereumbook,20300,https://github.com/ethereumbook/ethereumbook
web3,web3.js,19600,https://github.com/web3/web3.js
sismo-core,sismo-badges,16100,https://github.com/sismo-core/sismo-badges
trufflesuite,truffle,14000,https://github.com/trufflesuite/truffle
smartcontractkit,full-blockchain-solidity-course-js,13000,https://github.com/smartcontractkit/full-blockchain-solidity-course-js
MetaMask,metamask-extension,12400,https://github.com/MetaMask/metamask-extension
AmazingAng,WTF-Solidity,12200,https://github.com/AmazingAng/WTF-Solidity
hummingbot,hummingbot,11600,https://github.com/hummingbot/hummingbot
smartcontractkit,full-blockchain-solidity-course-py,10900,https://github.com/smartcontractkit/full-blockchain-solidity-course-py
OffcierCia,DeFi-Developer-Road-Map,10100,https://github.com/OffcierCia/DeFi-Developer-Road-Map
ethereum-lists,chains,9400,https://github.com/ethereum-lists/chains
scaffold-eth,scaffold-eth,9100,https://github.com/scaffold-eth/scaffold-eth
foundry-rs,foundry,8600,https://github.com/foundry-rs/foundry
ethers-io,ethers.js,8100,https://github.com/ethers-io/ethers.js
