username,repo_name,stars,repo_url
supabase,supabase,78100,https://github.com/supabase/supabase
appwrite,appwrite,47400,https://github.com/appwrite/appwrite
kriasoft,react-starter-kit,22800,https://github.com/kriasoft/react-starter-kit
pubkey,rxdb,22100,https://github.com/pubkey/rxdb
firebase,functions-samples,12100,https://github.com/firebase/functions-samples
invertase,react-native-firebase,11800,https://github.com/invertase/react-native-firebase
microg,GmsCore,9500,https://github.com/microg/GmsCore
firebase,quickstart-android,9000,https://github.com/firebase/quickstart-android
firebase,flutterfire,8800,https://github.com/firebase/flutterfire
nhost,nhost,8100,https://github.com/nhost/nhost
angular,angularfire,7700,https://github.com/angular/angularfire
labring,laf,7400,https://github.com/labring/laf
rowyio,rowy,6400,https://github.com/rowyio/rowy
firebase,firebase-ios-sdk,6100,https://github.com/firebase/firebase-ios-sdk
ThreeDotsLabs,wild-workouts-go-ddd-example,5500,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
devias-io,material-kit-react,5500,https://github.com/devias-io/material-kit-react
Th3Wall,Fakeflix,4900,https://github.com/Th3Wall/Fakeflix
firebase,firebase-js-sdk,4900,https://github.com/firebase/firebase-js-sdk
firebase,FirebaseUI-Android,4700,https://github.com/firebase/FirebaseUI-Android
kriasoft,react-firebase-starter,4500,https://github.com/kriasoft/react-firebase-starter
