username,repo_name,stars,repo_url
puppeteer,puppeteer,89800,https://github.com/puppeteer/puppeteer
microsoft,playwright,69700,https://github.com/microsoft/playwright
FiloSottile,mkcert,52400,https://github.com/FiloSottile/mkcert
gorhill,uBlock,50000,https://github.com/gorhill/uBlock
zen-browser,desktop,25400,https://github.com/zen-browser/desktop
ArchiveBox,ArchiveBox,23300,https://github.com/ArchiveBox/ArchiveBox
ovity,octotree,23000,https://github.com/ovity/octotree
gildas-lormeau,SingleFile,16900,https://github.com/gildas-lormeau/SingleFile
Anarios,return-youtube-dislike,12900,https://github.com/Anarios/return-youtube-dislike
microsoft,playwright-python,12400,https://github.com/microsoft/playwright-python
mozilla-mobile,firefox-ios,12400,https://github.com/mozilla-mobile/firefox-ios
MetaMask,metamask-extension,12400,https://github.com/MetaMask/metamask-extension
crimx,ext-saladict,12300,https://github.com/crimx/ext-saladict
moonD4rk,HackBrowserData,12000,https://github.com/moonD4rk/HackBrowserData
xifangczy,cat-catch,11600,https://github.com/xifangczy/cat-catch
ajayyy,SponsorBlock,10900,https://github.com/ajayyy/SponsorBlock
arkenfox,user.js,10700,https://github.com/arkenfox/user.js
bitwarden,clients,9800,https://github.com/bitwarden/clients
browserless,browserless,9600,https://github.com/browserless/browserless
Kenshin,simpread,8200,https://github.com/Kenshin/simpread
