username,repo_name,stars,repo_url
pallets,flask,68900,https://github.com/pallets/flask
apache,superset,64700,https://github.com/apache/superset
Asabeneh,30-Days-Of-Python,44800,https://github.com/Asabeneh/30-Days-Of-Python
plotly,dash,22000,https://github.com/plotly/dash
humiaozuzu,awesome-flask,12400,https://github.com/humiaozuzu/awesome-flask
Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
benbusby,whoogle-search,10500,https://github.com/benbusby/whoogle-search
miguelgrinberg,flasky,8600,https://github.com/miguelgrinberg/flasky
vvbbnn00,WARP-Clash-API,8600,https://github.com/vvbbnn00/WARP-Clash-API
jofpin,trape,8200,https://github.com/jofpin/trape
dvf,blockchain,7900,https://github.com/dvf/blockchain
pyeve,eve,6700,https://github.com/pyeve/eve
joeyespo,grip,6600,https://github.com/joeyespo/grip
Python3WebSpider,ProxyPool,5900,https://github.com/Python3WebSpider/ProxyPool
CTFd,CTFd,5900,https://github.com/CTFd/CTFd
simple-login,app,5500,https://github.com/simple-login/app
miguelgrinberg,Flask-SocketIO,5400,https://github.com/miguelgrinberg/Flask-SocketIO
man-group,dtale,4900,https://github.com/man-group/dtale
dpgaspar,Flask-AppBuilder,4800,https://github.com/dpgaspar/Flask-AppBuilder
lepture,authlib,4700,https://github.com/lepture/authlib
