username,repo_name,stars,repo_url
tonsky,FiraCode,78300,https://github.com/tonsky/FiraCode
FortAwesome,Font-Awesome,74700,https://github.com/FortAwesome/Font-Awesome
ryanoasis,nerd-fonts,56500,https://github.com/ryanoasis/nerd-fonts
you-dont-need,You-Dont-Need-JavaScript,20000,https://github.com/you-dont-need/You-Dont-Need-JavaScript
be5invis,Iosevka,19800,https://github.com/be5invis/Iosevka
lxgw,LxgwWenKai,19200,https://github.com/lxgw/LxgwWenKai
rsms,inter,18200,https://github.com/rsms/inter
source-foundry,Hack,16700,https://github.com/source-foundry/Hack
gztchan,awesome-design,15900,https://github.com/gztchan/awesome-design
faressoft,terminalizer,15500,https://github.com/faressoft/terminalizer
githubnext,monaspace,15300,https://github.com/githubnext/monaspace
adobe-fonts,source-han-sans,14800,https://github.com/adobe-fonts/source-han-sans
atelier-anchor,smiley-sans,13300,https://github.com/atelier-anchor/smiley-sans
neutraltone,awesome-stock-resources,13200,https://github.com/neutraltone/awesome-stock-resources
JetBrains,JetBrainsMono,11300,https://github.com/JetBrains/JetBrainsMono
dompdf,dompdf,10700,https://github.com/dompdf/dompdf
be5invis,Sarasa-Gothic,10500,https://github.com/be5invis/Sarasa-Gothic
snowie2000,mactype,10500,https://github.com/snowie2000/mactype
IBM,plex,10500,https://github.com/IBM/plex
cdnjs,cdnjs,10400,https://github.com/cdnjs/cdnjs
