username,repo_name,stars,repo_url
vuejs,vue,208000,https://github.com/vuejs/vue
django,django,82500,https://github.com/django/django
fastapi,fastapi,81400,https://github.com/fastapi/fastapi
gin-gonic,gin,80500,https://github.com/gin-gonic/gin
laravel,laravel,80100,https://github.com/laravel/laravel
spring-projects,spring-boot,76300,https://github.com/spring-projects/spring-boot
nestjs,nest,69600,https://github.com/nestjs/nest
ocornut,imgui,63500,https://github.com/ocornut/imgui
spring-projects,spring-framework,57400,https://github.com/spring-projects/spring-framework
rails,rails,56500,https://github.com/rails/rails
nuxt,nuxt,56300,https://github.com/nuxt/nuxt
scrapy,scrapy,54400,https://github.com/scrapy/scrapy
ionic-team,ionic-framework,51500,https://github.com/ionic-team/ionic-framework
meteor,meteor,44600,https://github.com/meteor/meteor
apache,dubbo,40800,https://github.com/apache/dubbo
microsoft,autogen,40400,https://github.com/microsoft/autogen
run-llama,llama_index,39400,https://github.com/run-llama/llama_index
Dogfalo,materialize,38900,https://github.com/Dogfalo/materialize
expo,expo,37700,https://github.com/expo/expo
QuivrHQ,quivr,37400,https://github.com/QuivrHQ/quivr
