username,repo_name,stars,repo_url
facebook,react,233000,https://github.com/facebook/react
vuejs,vue,208000,https://github.com/vuejs/vue
vitejs,vite,71000,https://github.com/vitejs/vite
thedaviddias,Front-End-Checklist,69600,https://github.com/thedaviddias/Front-End-Checklist
ionic-team,ionic-framework,51500,https://github.com/ionic-team/ionic-framework
dypsilon,frontend-dev-bookmarks,43300,https://github.com/dypsilon/frontend-dev-bookmarks
LeCoupa,awesome-cheatsheets,41700,https://github.com/LeCoupa/awesome-cheatsheets
expo,expo,37700,https://github.com/expo/expo
NaiboWang,EasySpider,37700,https://github.com/NaiboWang/EasySpider
QuivrHQ,quivr,37400,https://github.com/QuivrHQ/quivr
GitHubDaily,GitHubDaily,36300,https://github.com/GitHubDaily/GitHubDaily
xitu,gold-miner,34000,https://github.com/xitu/gold-miner
fastapi,full-stack-fastapi-template,30600,https://github.com/fastapi/full-stack-fastapi-template
ascoders,weekly,29000,https://github.com/ascoders/weekly
mouredev,Hello-Python,28700,https://github.com/mouredev/Hello-Python
CorentinTh,it-tools,27400,https://github.com/CorentinTh/it-tools
haizlin,fe-interview,25700,https://github.com/haizlin/fe-interview
iview,iview,24000,https://github.com/iview/iview
vueComponent,ant-design-vue,20600,https://github.com/vueComponent/ant-design-vue
baidu,amis,17800,https://github.com/baidu/amis
