username,repo_name,stars,repo_url
godotengine,godot,94500,https://github.com/godotengine/godot
ocornut,imgui,63500,https://github.com/ocornut/imgui
bevyengine,bevy,38200,https://github.com/bevyengine/bevy
raysan5,raylib,25100,https://github.com/raysan5/raylib
libgdx,libgdx,23800,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,23600,https://github.com/BabylonJS/Babylon.js
leereilly,games,23200,https://github.com/leereilly/games
cocos2d,cocos2d-x,18400,https://github.com/cocos2d/cocos2d-x
aframevr,aframe,16900,https://github.com/aframevr/aframe
kitao,pyxel,16000,https://github.com/kitao/pyxel
OpenRA,OpenRA,15200,https://github.com/OpenRA/OpenRA
ellisonleao,magictools,14100,https://github.com/ellisonleao/magictools
4ian,GDevelop,13000,https://github.com/4ian/GDevelop
SFTtech,openage,12900,https://github.com/SFTtech/openage
MonoGame,MonoGame,11800,https://github.com/MonoGame/MonoGame
boardgameio,boardgame.io,11800,https://github.com/boardgameio/boardgame.io
hajimehoshi,ebiten,11600,https://github.com/hajimehoshi/ebiten
luanti-org,luanti,11200,https://github.com/luanti-org/luanti
OpenDiablo2,OpenDiablo2,10800,https://github.com/OpenDiablo2/OpenDiablo2
skypjack,entt,10700,https://github.com/skypjack/entt
