username,repo_name,stars,repo_url
github,gitignore,165000,https://github.com/github/gitignore
Chalarangelo,30-seconds-of-code,123000,https://github.com/Chalarangelo/30-seconds-of-code
bregman-arie,devops-exercises,69500,https://github.com/bregman-arie/devops-exercises
jesseduffield,lazygit,57100,https://github.com/jesseduffield/lazygit
sharkdp,bat,51300,https://github.com/sharkdp/bat
tiimgreen,github-cheat-sheet,49700,https://github.com/tiimgreen/github-cheat-sheet
go-gitea,gitea,47300,https://github.com/go-gitea/gitea
gogs,gogs,45500,https://github.com/gogs/gogs
cli,cli,38400,https://github.com/cli/cli
files-community,Files,36200,https://github.com/files-community/Files
logseq,logseq,35100,https://github.com/logseq/logseq
typicode,husky,33200,https://github.com/typicode/husky
harness,harness,32500,https://github.com/harness/harness
usebruno,bruno,31500,https://github.com/usebruno/bruno
GitbookIO,gitbook,27600,https://github.com/GitbookIO/gitbook
requarks,wiki,25700,https://github.com/requarks/wiki
dandavison,delta,25500,https://github.com/dandavison/delta
mislav,hub,22900,https://github.com/mislav/hub
git-tips,tips,21500,https://github.com/git-tips/tips
desktop,desktop,20200,https://github.com/desktop/desktop
