username,repo_name,stars,repo_url
mislav,hub,22900,https://github.com/mislav/hub
tipsy,profile-summary-for-github,19900,https://github.com/tipsy/profile-summary-for-github
avgupta456,github-trends,15900,https://github.com/avgupta456/github-trends
lowlighter,metrics,14300,https://github.com/lowlighter/metrics
rzashakeri,beautify-github-profile,11400,https://github.com/rzashakeri/beautify-github-profile
google,go-github,10600,https://github.com/google/go-github
devhubapp,devhub,9800,https://github.com/devhubapp/devhub
donnemartin,gitsome,7600,https://github.com/donnemartin/gitsome
github-changelog-generator,github-changelog-generator,7400,https://github.com/github-changelog-generator/github-changelog-generator
PyGithub,PyGithub,7200,https://github.com/PyGithub/PyGithub
cloudquery,cloudquery,6000,https://github.com/cloudquery/cloudquery
michenriksen,gitrob,6000,https://github.com/michenriksen/gitrob
XPoet,picx,4700,https://github.com/XPoet/picx
gitify-app,gitify,4600,https://github.com/gitify-app/gitify
actions,github-script,4400,https://github.com/actions/github-script
QasimWani,LeetHub,4100,https://github.com/QasimWani/LeetHub
octokit,octokit.rb,3900,https://github.com/octokit/octokit.rb
eth0izzle,shhgit,3900,https://github.com/eth0izzle/shhgit
async-labs,builderbook,3800,https://github.com/async-labs/builderbook
nslogx,Gitter,3700,https://github.com/nslogx/Gitter
