username,repo_name,stars,repo_url
avelino,awesome-go,139000,https://github.com/avelino/awesome-go
ollama,ollama,130000,https://github.com/ollama/ollama
golang,go,126000,https://github.com/golang/go
kubernetes,kubernetes,113000,https://github.com/kubernetes/kubernetes
fatedier,frp,90900,https://github.com/fatedier/frp
gin-gonic,gin,80500,https://github.com/gin-gonic/gin
gohugoio,hugo,78300,https://github.com/gohugoio/hugo
moby,moby,69300,https://github.com/moby/moby
junegunn,fzf,68300,https://github.com/junegunn/fzf
syncthing,syncthing,67900,https://github.com/syncthing/syncthing
grafana,grafana,66700,https://github.com/grafana/grafana
caddyserver,caddy,61900,https://github.com/caddyserver/caddy
youngyangyang04,leetcode-master,54200,https://github.com/youngyangyang04/leetcode-master
traefik,traefik,53400,https://github.com/traefik/traefik
golang-standards,project-layout,51200,https://github.com/golang-standards/project-layout
minio,minio,50400,https://github.com/minio/minio
rclone,rclone,49100,https://github.com/rclone/rclone
etcd-io,etcd,48500,https://github.com/etcd-io/etcd
ethereum,go-ethereum,48500,https://github.com/ethereum/go-ethereum
go-gitea,gitea,47300,https://github.com/go-gitea/gitea
