username,repo_name,stars,repo_url
google-research,bert,38700,https://github.com/google-research/bert
google,comprehensive-rust,29400,https://github.com/google/comprehensive-rust
danny-avila,LibreChat,22600,https://github.com/danny-avila/LibreChat
mxrch,GHunt,16200,https://github.com/mxrch/GHunt
google,yapf,13900,https://github.com/google/yapf
Pawdroid,Free-servers,13300,https://github.com/Pawdroid/Free-servers
firebase,functions-samples,12100,https://github.com/firebase/functions-samples
googleapis,google-api-nodejs-client,11600,https://github.com/googleapis/google-api-nodejs-client
infracost,infracost,11300,https://github.com/infracost/infracost
google,dopamine,10600,https://github.com/google/dopamine
selierlin,Share-SSR-V2ray,10200,https://github.com/selierlin/Share-SSR-V2ray
GoogleCloudPlatform,generative-ai,9600,https://github.com/GoogleCloudPlatform/generative-ai
microg,GmsCore,9500,https://github.com/microg/GmsCore
firebase,flutterfire,8800,https://github.com/firebase/flutterfire
tisfeng,Easydict,8400,https://github.com/tisfeng/Easydict
tycrek,degoogle,8200,https://github.com/tycrek/degoogle
tensorlayer,TensorLayer,7300,https://github.com/tensorlayer/TensorLayer
goenning,google-indexing-script,7200,https://github.com/goenning/google-indexing-script
google-map-react,google-map-react,6400,https://github.com/google-map-react/google-map-react
friuns2,BlackFriday-GPTs-Prompts,6400,https://github.com/friuns2/BlackFriday-GPTs-Prompts
