username,repo_name,stars,repo_url
gradle,gradle,17300,https://github.com/gradle/gradle
GoogleContainerTools,jib,13800,https://github.com/GoogleContainerTools/jib
inferjay,AndroidDevTools,7900,https://github.com/inferjay/AndroidDevTools
cabaletta,baritone,7500,https://github.com/cabaletta/baritone
Meituan-Dianping,walle,6800,https://github.com/Meituan-Dianping/walle
igorwojda,android-showcase,6600,https://github.com/igorwojda/android-showcase
mcxiaoke,packer-ng-plugin,4800,https://github.com/mcxiaoke/packer-ng-plugin
diffplug,spotless,4700,https://github.com/diffplug/spotless
nisrulz,android-tips-tricks,4700,https://github.com/nisrulz/android-tips-tricks
Meituan-Dianping,Robust,4400,https://github.com/Meituan-Dianping/Robust
cesarferreira,dryrun,3800,https://github.com/cesarferreira/dryrun
gradle,kotlin-dsl-samples,3700,https://github.com/gradle/kotlin-dsl-samples
Kotlin,kotlin-examples,3200,https://github.com/Kotlin/kotlin-examples
EngineHub,WorldEdit,3200,https://github.com/EngineHub/WorldEdit
bytedance,ByteX,3200,https://github.com/bytedance/ByteX
Tencent,VasDolly,3100,https://github.com/Tencent/VasDolly
KeepSafe,dexcount-gradle-plugin,3100,https://github.com/KeepSafe/dexcount-gradle-plugin
north2016,T-MVP,2700,https://github.com/north2016/T-MVP
Qihoo360,ArgusAPM,2700,https://github.com/Qihoo360/ArgusAPM
jitpack,jitpack.io,2600,https://github.com/jitpack/jitpack.io
