username,repo_name,stars,repo_url
hoppscotch,hoppscotch,68500,https://github.com/hoppscotch/hoppscotch
strapi,strapi,65200,https://github.com/strapi/strapi
gatsbyjs,gatsby,55800,https://github.com/gatsbyjs/gatsby
prettier,prettier,50000,https://github.com/prettier/prettier
TanStack,query,44000,https://github.com/TanStack/query
Kong,insomnia,35700,https://github.com/Kong/insomnia
payloadcms,payload,32800,https://github.com/payloadcms/payload
hasura,graphql-engine,31400,https://github.com/hasura/graphql-engine
refinedev,refine,30000,https://github.com/refinedev/refine
directus,directus,29400,https://github.com/directus/directus
twentyhq,twenty,26000,https://github.com/twentyhq/twenty
marmelab,react-admin,25500,https://github.com/marmelab/react-admin
heyxyz,hey,24600,https://github.com/heyxyz/hey
kriasoft,react-starter-kit,22800,https://github.com/kriasoft/react-starter-kit
pubkey,rxdb,22100,https://github.com/pubkey/rxdb
saleor,saleor,21200,https://github.com/saleor/saleor
parse-community,parse-server,21000,https://github.com/parse-community/parse-server
graphql,graphql-js,20200,https://github.com/graphql/graphql-js
apollographql,apollo-client,19500,https://github.com/apollographql/apollo-client
redwoodjs,redwood,17500,https://github.com/redwoodjs/redwood
