username,repo_name,stars,repo_url
miniMAC,magic,8500,https://github.com/miniMAC/magic
vigetlabs,blendid,5000,https://github.com/vigetlabs/blendid
nieweidong,fetool,4400,https://github.com/nieweidong/fetool
assemble,assemble,4300,https://github.com/assemble/assemble
yeoman,generator-webapp,3800,https://github.com/yeoman/generator-webapp
EmailThis,extension-boilerplate,3300,https://github.com/EmailThis/extension-boilerplate
MicrosoftDX,Vorlonjs,2900,https://github.com/MicrosoftDX/Vorlonjs
nas5w,100-days-of-code-frontend,2700,https://github.com/nas5w/100-days-of-code-frontend
ykob,sketch-threejs,2400,https://github.com/ykob/sketch-threejs
Tencent,tmt-workflow,2200,https://github.com/Tencent/tmt-workflow
egoist,maid,2000,https://github.com/egoist/maid
summerblue,phphub5,1900,https://github.com/summerblue/phphub5
PatrickJS,NG6-starter,1900,https://github.com/PatrickJS/NG6-starter
nicejade,Front-end-tutorial,1700,https://github.com/nicejade/Front-end-tutorial
luangjokaj,wordpressify,1600,https://github.com/luangjokaj/wordpressify
flatlogic,angular-material-dashboard,1400,https://github.com/flatlogic/angular-material-dashboard
logeshpaul,Frontend-Cheat-Sheets,1100,https://github.com/logeshpaul/Frontend-Cheat-Sheets
FountainJS,generator-fountain-webapp,962,https://github.com/FountainJS/generator-fountain-webapp
nicejade,nice-front-end-tutorial,934,https://github.com/nicejade/nice-front-end-tutorial
themesberg,neumorphism-ui-bootstrap,851,https://github.com/themesberg/neumorphism-ui-bootstrap
