username,repo_name,stars,repo_url
twbs,bootstrap,172000,https://github.com/twbs/bootstrap
Chalarangelo,30-seconds-of-code,123000,https://github.com/Chalarangelo/30-seconds-of-code
electron,electron,116000,https://github.com/electron/electron
storybookjs,storybook,86000,https://github.com/storybookjs/storybook
microsoft,Web-Dev-For-Beginners,85300,https://github.com/microsoft/Web-Dev-For-Beginners
florinpop17,app-ideas,82300,https://github.com/florinpop17/app-ideas
thedaviddias,Front-End-Checklist,69600,https://github.com/thedaviddias/Front-End-Checklist
h5bp,html5-boilerplate,56800,https://github.com/h5bp/html5-boilerplate
rails,rails,56500,https://github.com/rails/rails
prettier,prettier,50000,https://github.com/prettier/prettier
jgthms,bulma,49600,https://github.com/jgthms/bulma
Asabeneh,30-Days-Of-JavaScript,44000,https://github.com/Asabeneh/30-Days-Of-JavaScript
vercel,hyper,43700,https://github.com/vercel/hyper
bigskysoftware,htmx,43700,https://github.com/bigskysoftware/htmx
parcel-bundler,parcel,43700,https://github.com/parcel-bundler/parcel
yangshun,front-end-interview-handbook,42400,https://github.com/yangshun/front-end-interview-handbook
tabler,tabler,38800,https://github.com/tabler/tabler
videojs,video.js,38500,https://github.com/videojs/video.js
NaiboWang,EasySpider,37700,https://github.com/NaiboWang/EasySpider
QuivrHQ,quivr,37400,https://github.com/QuivrHQ/quivr
