username,repo_name,stars,repo_url
hoppscotch,hoppscotch,68500,https://github.com/hoppscotch/hoppscotch
caddyserver,caddy,61900,https://github.com/caddyserver/caddy
psf,requests,52600,https://github.com/psf/requests
ngosang,trackerslist,48800,https://github.com/ngosang/trackerslist
apache,dubbo,40800,https://github.com/apache/dubbo
mitmproxy,mitmproxy,38100,https://github.com/mitmproxy/mitmproxy
curl,curl,37000,https://github.com/curl/curl
aria2,aria2,36800,https://github.com/aria2/aria2
httpie,cli,34900,https://github.com/httpie/cli
ehang-io,nps,31300,https://github.com/ehang-io/nps
chinabugotech,hutool,29600,https://github.com/chinabugotech/hutool
nginx,nginx,26100,https://github.com/nginx/nginx
locustio,locust,25700,https://github.com/locustio/locust
vapor,vapor,24900,https://github.com/vapor/vapor
PostgREST,postgrest,24700,https://github.com/PostgREST/postgrest
tsenart,vegeta,24000,https://github.com/tsenart/vegeta
go-kratos,kratos,23800,https://github.com/go-kratos/kratos
jhao104,proxy_pool,22000,https://github.com/jhao104/proxy_pool
gorilla,mux,21200,https://github.com/gorilla/mux
go-chi,chi,19200,https://github.com/go-chi/chi
