username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,411000,https://github.com/freeCodeCamp/freeCodeCamp
EbookFoundation,free-programming-books,351000,https://github.com/EbookFoundation/free-programming-books
TheAlgorithms,Python,198000,https://github.com/TheAlgorithms/Python
ohmyzsh,ohmyzsh,176000,https://github.com/ohmyzsh/ohmyzsh
huggingface,transformers,140000,https://github.com/huggingface/transformers
avelino,awesome-go,139000,https://github.com/avelino/awesome-go
axios,axios,106000,https://github.com/axios/axios
rust-lang,rust,102000,https://github.com/rust-lang/rust
microsoft,terminal,97200,https://github.com/microsoft/terminal
excalidraw,excalidraw,93300,https://github.com/excalidraw/excalidraw
iluwatar,java-design-patterns,90900,https://github.com/iluwatar/java-design-patterns
rustdesk,rustdesk,83100,https://github.com/rustdesk/rustdesk
florinpop17,app-ideas,82300,https://github.com/florinpop17/app-ideas
home-assistant,core,76800,https://github.com/home-assistant/core
anuraghazra,github-readme-stats,71700,https://github.com/anuraghazra/github-readme-stats
nestjs,nest,69600,https://github.com/nestjs/nest
hoppscotch,hoppscotch,68500,https://github.com/hoppscotch/hoppscotch
grafana,grafana,66700,https://github.com/grafana/grafana
sdmg15,Best-websites-a-programmer-should-visit,66100,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
strapi,strapi,65200,https://github.com/strapi/strapi
