username,repo_name,stars,repo_url
koalaman,shellcheck,37000,https://github.com/koalaman/shellcheck
jgm,pandoc,36100,https://github.com/jgm/pandoc
hasura,graphql-engine,31400,https://github.com/hasura/graphql-engine
PostgREST,postgrest,24700,https://github.com/PostgREST/postgrest
compiler-explorer,compiler-explorer,17100,https://github.com/compiler-explorer/compiler-explorer
wasp-lang,wasp,15100,https://github.com/wasp-lang/wasp
hmemcpy,milewski-ctfp-pdf,11200,https://github.com/hmemcpy/milewski-ctfp-pdf
hadolint,hadolint,10700,https://github.com/hadolint/hadolint
lk-geimfari,awesomo,9500,https://github.com/lk-geimfari/awesomo
purescript,purescript,8700,https://github.com/purescript/purescript
simplex-chat,simplex-chat,8000,https://github.com/simplex-chat/simplex-chat
liuxinyu95,AlgoXY,6200,https://github.com/liuxinyu95/AlgoXY
unisonweb,unison,5900,https://github.com/unisonweb/unison
digitallyinduced,ihp,5000,https://github.com/digitallyinduced/ihp
extism,extism,4700,https://github.com/extism/extism
kmonad,kmonad,4300,https://github.com/kmonad/kmonad
input-output-hk,cardano-sl,3800,https://github.com/input-output-hk/cardano-sl
koka-lang,koka,3400,https://github.com/koka-lang/koka
xmonad,xmonad,3400,https://github.com/xmonad/xmonad
simonmichael,hledger,3200,https://github.com/simonmichael/hledger
