username,repo_name,stars,repo_url
Homebrew,brew,42700,https://github.com/Homebrew/brew
mislav,hub,22900,https://github.com/mislav/hub
Homebrew,homebrew-cask,21200,https://github.com/Homebrew/homebrew-cask
Caldis,Mos,15900,https://github.com/Caldis/Mos
goreleaser,goreleaser,14300,https://github.com/goreleaser/goreleaser
Homebrew,homebrew-core,14000,https://github.com/Homebrew/homebrew-core
mas-cli,mas,11200,https://github.com/mas-cli/mas
IdreesInc,Monocraft,8700,https://github.com/IdreesInc/Monocraft
diasurgical,DevilutionX,8500,https://github.com/diasurgical/DevilutionX
geerlingguy,mac-dev-playbook,6200,https://github.com/geerlingguy/mac-dev-playbook
LumaTeam,Luma3DS,5500,https://github.com/LumaTeam/Luma3DS
Homebrew,homebrew-bundle,5500,https://github.com/Homebrew/homebrew-bundle
mock-server,mockserver,4700,https://github.com/mock-server/mockserver
milanvarady,Applite,4600,https://github.com/milanvarady/Applite
paulirish,dotfiles,4200,https://github.com/paulirish/dotfiles
whalebrew,whalebrew,4200,https://github.com/whalebrew/whalebrew
cointop-sh,cointop,4100,https://github.com/cointop-sh/cointop
dotenvx,dotenvx,3300,https://github.com/dotenvx/dotenvx
nicoverbruggen,phpmon,3100,https://github.com/nicoverbruggen/phpmon
Homebrew,homebrew-cask-fonts,2800,https://github.com/Homebrew/homebrew-cask-fonts
