username,repo_name,stars,repo_url
homebridge,homebridge,24500,https://github.com/homebridge/homebridge
homebridge,homebridge-config-ui-x,2700,https://github.com/homebridge/homebridge-config-ui-x
homebridge,docker-homebridge,2600,https://github.com/homebridge/docker-homebridge
hjdhjd,homebridge-unifi-protect,1500,https://github.com/hjdhjd/homebridge-unifi-protect
dgreif,ring,1300,https://github.com/dgreif/ring
homebridge-plugins,homebridge-camera-ffmpeg,1100,https://github.com/homebridge-plugins/homebridge-camera-ffmpeg
YinHangCode,homebridge-mi-aqara,1100,https://github.com/YinHangCode/homebridge-mi-aqara
homebridge,homebridge-raspbian-image,1100,https://github.com/homebridge/homebridge-raspbian-image
seydx,camera.ui,775,https://github.com/seydx/camera.ui
merdok,homebridge-webos-tv,673,https://github.com/merdok/homebridge-webos-tv
seydx,homebridge-camera-ui,663,https://github.com/seydx/homebridge-camera-ui
tavicu,homebridge-samsung-tizen,657,https://github.com/tavicu/homebridge-samsung-tizen
sieren,Homepoint,635,https://github.com/sieren/Homepoint
homebridge,homebridge-syno-spk,618,https://github.com/homebridge/homebridge-syno-spk
lprhodes,homebridge-broadlink-rm,573,https://github.com/lprhodes/homebridge-broadlink-rm
hjdhjd,homebridge-myq,565,https://github.com/hjdhjd/homebridge-myq
hoobs-org,HOOBS,552,https://github.com/hoobs-org/HOOBS
taligentx,dscKeybusInterface,528,https://github.com/taligentx/dscKeybusInterface
homebridge-plugins,homebridge-govee,522,https://github.com/homebridge-plugins/homebridge-govee
plasticrake,homebridge-tplink-smarthome,496,https://github.com/plasticrake/homebridge-tplink-smarthome
