username,repo_name,stars,repo_url
ipfs,ipfs,22800,https://github.com/ipfs/ipfs
ipfs,kubo,16400,https://github.com/ipfs/kubo
smartcontractkit,full-blockchain-solidity-course-js,13000,https://github.com/smartcontractkit/full-blockchain-solidity-course-js
TeamPiped,Piped,8800,https://github.com/TeamPiped/Piped
orbitdb,orbitdb,8400,https://github.com/orbitdb/orbitdb
berty,berty,7800,https://github.com/berty/berty
ipfs,js-ipfs,7400,https://github.com/ipfs/js-ipfs
ipfs,ipfs-desktop,6100,https://github.com/ipfs/ipfs-desktop
soketi,soketi,5100,https://github.com/soketi/soketi
ipfs,awesome-ipfs,4400,https://github.com/ipfs/awesome-ipfs
hoochanlon,fq-book,4000,https://github.com/hoochanlon/fq-book
embarklabs,embark,3800,https://github.com/embarklabs/embark
yjjnls,awesome-blockchain,3400,https://github.com/yjjnls/awesome-blockchain
graphprotocol,graph-node,3000,https://github.com/graphprotocol/graph-node
filecoin-project,lotus,2900,https://github.com/filecoin-project/lotus
libp2p,js-libp2p,2400,https://github.com/libp2p/js-libp2p
ipfs,ipfs-companion,2100,https://github.com/ipfs/ipfs-companion
Peergos,Peergos,2100,https://github.com/Peergos/Peergos
TryQuiet,quiet,2100,https://github.com/TryQuiet/quiet
ipfs,public-gateway-checker,1900,https://github.com/ipfs/public-gateway-checker
