username,repo_name,stars,repo_url
ryanoasis,nerd-fonts,56500,https://github.com/ryanoasis/nerd-fonts
neutraltone,awesome-stock-resources,13200,https://github.com/neutraltone/awesome-stock-resources
akveo,eva-icons,8600,https://github.com/akveo/eva-icons
Remix-Design,RemixIcon,7200,https://github.com/Remix-Design/RemixIcon
ecomfe,fontmin,5900,https://github.com/ecomfe/fontmin
mikepenz,Android-Iconics,5200,https://github.com/mikepenz/Android-Iconics
phosphor-icons,homepage,4800,https://github.com/phosphor-icons/homepage
refscn,rplibs,3100,https://github.com/refscn/rplibs
atisawd,boxicons,3000,https://github.com/atisawd/boxicons
coreui,coreui-icons,2000,https://github.com/coreui/coreui-icons
keremciu,sketch-iconfont,2000,https://github.com/keremciu/sketch-iconfont
brabadu,awesome-fonts,1600,https://github.com/brabadu/awesome-fonts
home-assistant,Iconic,1600,https://github.com/home-assistant/Iconic
vkarampinis,awesome-icons,1400,https://github.com/vkarampinis/awesome-icons
ForkAwesome,Fork-Awesome,1300,https://github.com/ForkAwesome/Fork-Awesome
phosphor-icons,react,1300,https://github.com/phosphor-icons/react
dongjunkun,GanK,1200,https://github.com/dongjunkun/GanK
leungwensen,svg-icon,1100,https://github.com/leungwensen/svg-icon
Richard9394,MingCute,985,https://github.com/Richard9394/MingCute
pfefferle,openwebicons,852,https://github.com/pfefferle/openwebicons
